Country Code,Country Name,"Central government, Fiscal Balance (% of GDP) 2019",Current account balance (As % of GDP) 2019,Exports of goods and services (% of GDP) 2019,Imports of goods and services (% of GDP) 2019,"Inflation, consumer prices (annual %) 2019",Gross capital formation (% of GDP) 2019,Final consumption expenditure  (% of GDP) 2019,General government final consumption expenditure (% of GDP) 2019,Household final consumption expenditure  (% of GDP) 2019,Real GDP growth (annual %) 2019,Population 2019,Gini Index 2019,Gross National Income Per Capita (2017 PPP$),Human Development Index (value),Inequality-adjusted Human Development Index (value),Life Expectancy at Birth (years),"Labour force participation rate, female (% ages 15 and older)","Labour force participation rate, male (% ages 15 and older)","Maternal Mortality Ratio (deaths per 100,000 live births)","Share of seats in parliament, female (% held by women)",Expected Years of Schooling (years)
SLE,Sierra Leone,-7.8445065645,-18.3512172248,29.8733066642,54.7007027652,11.1798568598,19.6462863132,105.1811097878,11.4754924972,93.7056172906,5.5828035932,8046828.0,,1634.794,0.457,0.273,60.255,50.45,56.4,435.236,12.329,8.969
SOM,Somalia,0.1,-6.5,,,4.7,,,,,3.5,15981300.0,,1097.605,,,57.078,21.46,48.03,606.238,24.316,
SOUTH,Southern Africa,-4.1756571918,-2.9571111585,31.6772916827,32.0286362886,7.105053709,22.8999845128,77.451360093,17.9175851965,59.5337748965,2.2440664553,,,,,,,,,,,
SSA,Sub-Saharan Africa,-3.7254177693,-2.1191390935,23.3904656038,25.6297558366,9.1202158995,21.7407087961,80.2788836328,12.0062974931,68.2725861397,3.723636849,1121451424.0,,,,,,,,,,
SSD,South Sudan,-1.404,-10.066,,,108.188,,,,,-2.59,10447666.0,,784.474,0.391,0.226,55.912,,,1245.171,26.559,5.635
STP,Sao Tome and Principe,-3.3445525595,-7.2960969398,23.4710705083,48.684942037,5.461841466,33.9238653163,91.2900062124,12.4959736435,78.7940325689,4.5619769863,214599.0,,3999.636,0.608,0.454,68.523,,,142.413,14.545,12.474
SWZ,eSwatini,-6.0993487028,1.434761927,49.2257095737,46.4251203557,5.36292207,12.6582670519,84.5411437301,22.9535832693,61.5875604607,1.6729547143,1169613.0,,7668.515,0.623,0.381,60.549,45.78,53.23,227.995,12.121,14.614
SYC,Seychelles,-0.4135936797,-17.5595720454,93.6665772329,110.3176534698,3.5900514184,34.6440054589,82.007070778,22.4565910554,59.5504797226,3.296521839,97625.0,,27323.045,0.808,0.72,74.169,63.36,70.22,3.073,21.212,13.46
TCD,Chad,0.1934708965,-4.2863608633,28.7307508261,26.9342115182,2.3383440483,6.1501797722,92.0532809199,9.7302671066,82.3230138132,4.1765614277,16126866.0,,1538.014,0.398,0.237,53.259,48.77,72.66,1047.297,14.881,8.027
TGO,Togo,-1.6005953389,-6.7959872724,34.0664430573,51.6187456866,1.2111893396,20.7650519545,96.7872506749,16.0291638254,80.7580868494,4.9824847056,8243094.0,,2079.603,0.536,0.337,60.901,72.67,78.28,418.263,16.484,12.83
TUN,Tunisia,-4.522807623,-8.454602823,49.5398577844,59.9328036265,6.0896548479,20.0644395471,90.3285062949,18.9633382873,71.3651680076,2.8073739931,12049314.0,,10821.415,0.74,0.579,75.993,28.13,70.78,39.819,22.581,14.566
TZA,Tanzania,-3.2654369109,-3.3898768504,15.7509042895,17.8611963977,5.2450728497,26.6893895618,75.4209025464,11.831132413,63.5897701334,6.6372785055,59872579.0,,2537.39,0.533,0.369,66.989,76.82,85.55,261.851,36.896,8.701
UGA,Uganda,-4.4451853799,-4.8629976871,17.9137673505,27.1259139453,4.309835529,26.8346897823,82.3774568125,8.7877997014,73.5896571112,5.497528603,42949080.0,42.7,2190.261,0.544,0.372,62.991,74.55,81.16,291.642,34.858,11.427
WEST,West Africa,-3.9399674705,0.0821536193,19.8708600466,22.2792391731,9.693778335,17.3625259346,85.0458531919,7.040767231,78.005085961,3.6425432307,,,,,,,,,,,
ZAF,South Africa,-4.194928932,-3.1622842225,30.059345924,29.6601694914,5.3235105182,19.7153856547,79.8854379127,21.1933284544,58.6921094583,1.7075967014,58087055.0,,13506.048,0.741,0.478,66.175,51.95,65.13,118.27,45.333,14.214
ZAR,"Congo, Dem. Rep.",0.0336040309,1.8645449302,44.2574806005,27.0623990751,14.9056856642,23.2839622273,59.5209562473,5.63422999,53.8867262572,4.4592680729,,,,,,,,,,,
ZMB,Zambia,-6.7120192956,-2.3517285932,38.5263275324,40.8734099147,7.8614202519,46.3490463049,55.9980360775,11.2791802042,44.7188558732,4.2360652844,18380477.0,,3270.201,0.574,0.342,62.793,52.39,67.47,128.84,17.964,11.015
ZWE,Zimbabwe,-10.7873619093,-4.0538720032,19.7769067094,33.0479703599,3.539569557,10.8794285998,102.3916350507,21.6499950524,80.7416399984,4.2164934116,15354608.0,50.3,2156.432,0.56,0.376,61.292,60.69,71.88,393.176,34.571,10.994
